127.0.0.1 - - [13/May/2024:18:03:15 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2024:18:03:17 -0400] "GET /01-jsp-fundamentals/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/May/2024:18:03:17 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2024:18:03:41 -0400] "GET /01-jsp-fundamentals/01-hello-world.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [13/May/2024:21:08:23 -0400] "GET /01-jsp-fundamentals/ HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [13/May/2024:21:08:35 -0400] "GET /01-jsp-fundamentals/02-expression-test HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [13/May/2024:21:08:48 -0400] "GET /01-jsp-fundamentals/02-expression-test.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [13/May/2024:21:10:00 -0400] "GET /01-jsp-fundamentals/02-expression-test.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/May/2024:21:23:06 -0400] "GET /01-jsp-fundamentals/03-scriptlet-test.jsp HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [13/May/2024:21:28:02 -0400] "GET /01-jsp-fundamentals/04-declaration-test.jsp HTTP/1.1" 500 3172
0:0:0:0:0:0:0:1 - - [13/May/2024:21:29:13 -0400] "GET /01-jsp-fundamentals/04-declaration-test.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/May/2024:21:32:35 -0400] "GET /01-jsp-fundamentals/04-declaration-test.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/May/2024:21:32:46 -0400] "GET /01-jsp-fundamentals/02-expression-test.jsp HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [13/May/2024:21:47:07 -0400] "GET /01-jsp-fundamentals/04-declaration-test.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/May/2024:21:47:09 -0400] "GET /01-jsp-fundamentals/04-declaration-test.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/May/2024:21:59:17 -0400] "GET /01-jsp-fundamentals/05-built-in-object.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [13/May/2024:22:00:00 -0400] "GET /01-jsp-fundamentals/05-built-in-object.jsp HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [13/May/2024:22:11:55 -0400] "GET /01-jsp-fundamentals/06-LogicUtil.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [13/May/2024:22:14:01 -0400] "GET /01-jsp-fundamentals/06-LogicUtil.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/May/2024:22:14:09 -0400] "GET /01-jsp-fundamentals/06-LogicUtil.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [13/May/2024:22:41:46 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 500 2641
0:0:0:0:0:0:0:1 - - [13/May/2024:22:41:48 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 500 5667
0:0:0:0:0:0:0:1 - - [13/May/2024:22:41:50 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 500 2641
0:0:0:0:0:0:0:1 - - [13/May/2024:22:42:22 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/May/2024:22:42:43 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [13/May/2024:22:43:17 -0400] "GET /01-jsp-fundamentals/07-homepage.jsp HTTP/1.1" 200 389
